foa-0001	permission final episode
foa-0013	library card catalogs drawers index cards card catalog proxies representations documents acting surrogate for books text books drawers card catalogs function indexing efficient retrieval terminals far library building heart system text_search_engine text search engine matching features query book like index cards retrieval proxy work bibliographic_citation citation abstract text interest book magazine journal search_engine search engine find computer storage capacities network_communication network communication find retrieval_systems retrieval systems presenting text context proxies extend bibliographic_citation citation information subject_headings headings card catalogs document article abstract opinion book table_of_contents table contents search_engine search engine retrieving documents retrieving proxies for least reasons technical capabilities libraries computers networks can conceptual confusion search_engine search engine for text journal_articles journal commercial systems free access public_library public library fact libraries index individual periodical collections technical capacities changes application intellectual_property property laws changes library role changes publishing industry traditional balance publications issue capturing books journals far the_future future technical legal barriers rendering document corpus document proxies process support retrieving sets documents users step times versions documents for browsing users scan relevance_feedback relevance feedback read document document accurate its abstract its bibliographic_citation citation proxy information for users relevant
foa-0014	subtle characteristic documents need concern genre voice style document like find stuff like textbook phone genre email typical media spoken_conversation spoken conversation markings document consistent newspaper readers editors stories maintain consistent voice journal_articles journal peers same field standards community component audience focus vocabulary_choice vocabulary choice author variations document_structure document structure field like psychology for example difficult paper journals like forms legislation variations genre difficult consistent corpus typical email_message email message jump place newspaper page examples highlight context corpus read document problems www_search search document can crawl contexts writing_styles writing styles orienting features newspaper rubric selection tool scans usenet_news news browsing users abilities document textual passages context content hypermedia forms traditional publications range genres will experience can increase methods for help document contextual_information contextual information
foa-0015	definition documents forms people now print media form answer methods media images movies maps textual material need search for casting central problem text aspects multimedia_retrieval multimedia retrieval same perspective users information_needs information needs can use term document potential answer users queries now term media document order match queries users can search_engine search engine same time problem change move textual_documents textual documents media difficulty documents semantic_content semantic content syntactic_features syntactic features semantic_evidence semantic evidence text-based relative frequencies keywords document corpora text will set will role syntactic links associated texts can play understanding move media question consistent features new_media media can process semantic_content semantic content example can image distribution its pixel values share brightness profile horizontal line reliable can can mode analysis generalized retrieval images typical descriptors human aspects images blind rich vocabulary images use query like claim list things pictures set angle gaze attitudes divorce picture now commentary editors permission juxtaposition photos picture its selection for use text meme example photograph locking display case concert performance schedule case sign photo number subtle key case for teacher parents none school administrators can think solution examples seem cold_war category expert power evidence participants group photos picture worth words images explanation volumes move still_images images movies channels for meaning camera focus soundtrack skilled director rich vocabulary ability record digital spoken documents speech form audio analysis text music film motion_pictures motion pictures representations computers convenience availability electronic_media electronic media make analyze text place label for subfield linguistics words symbols meaning language coherent system symbol use symbols photo movie directors meaning symbols changes time recall pictures interpretation time publication interpretation now pictures mean context its meaning now complex meanings typical images documents publication code paper now for descriptors images media seem archives news photos newspapers images captions video streams transcripts textual data techniques for semantic_content semantic content images can top text-based techniques conjunction machine_learning_techniques machine learning techniques will reliable associations image video corpora can situations images captions video transcripts will document solutions for case
foa-0016	process vocabulary keywords documents corpus index relation_mapping relation mapping document set keywords inverse mapping for keyword documents assignment can manual_indexing indexing people skilled natural_language natural language users expertise domain discourse read document least keywords for automatic_indexing indexing procedures for same result index relation connection users expressions information_need information need documents can goal relation core problem
foa-0017	document its string characters first for keywords will tokens things white_space space token document its keywords simple solution users for documents document indexing string users document fact query form document queries like words suffixes affect meaning course problem make arguments simple solution spaces noun phrase fact white_space space words critical meaning descriptors documents morphological_features morphological features mark features can meaning differences texts relationship characters words hyphenation word phrase data_base phrase variable author preference practice time place publication hope tokens references same semantic_category semantic category hope hyphenation words boundaries keywords set white_space space characters tokens make keywords situation potential keyword punctuation situations space breaks semantic unit algorithm bigrams pairs_of_words words problem noun_phrases noun phrases like back_propagation_neural_network let syntactic compounds verb_phrases verb phrases clauses sentences phrases active area research perspectives computational_linguistics linguistics will token keyword solutions will handle hyphenation phrases stems
foa-0018	field library_science library science manual process effective indices for time standard comparison automatic techniques can difficult comparison will data for example capacity words indexer query user consistency humans make expectations for automated techniques manual automatic_indexing automatic indexing need alternatives terms resources read document corpus index option index automatic_system automatic system construct resources human tools make effective use time methods editorial resource sense manual effort corpus editors librarians guide automatic_indexing automatic indexing process information computation intelligent human readers assurance indexing function will editors can train machine_learning machine learning systems number analyses interest editors will
foa-0019	database_retrieval field computer_science computer science fields databases efficient_algorithms efficient algorithms for elements computer industry databases search_engines search class queries users information computers database_systems database systems theory central discipline computer_science computer science techniques core_technologies core technologies for general public discovery the_internet interest search_engines search like alta_vista users find value lists web_pages pages response search_engines search for people organizing address book record collection baseball statistics databases database_technologies database technologies make concrete let information_need information need think database search_engine search engine example query disk_drive disk drive database_size number case databases assumptions first structure attributes individual records database_design database design elements data format logical_relations relations logical_data_model data model data physical implementation assumptions specification syntax for query_language query language strategies for optimizing query use computational_resources resources efficient_storage efficient storage data physical_devices physical devices let logical_data_model data model large catalog information drive will make assumption users can translate natural_language natural language syntax query_language query language result database_search database search like databases example relation like instances simple data_modeling data modeling data keeping date tasks database catalog date missing_data data users database informed let search_engine search engine same query usenet_news news search_engine search engine like query results retrieval posting search_engine search engine will read issues disks relevant situation for search switching switching problems for configuration error comp comp comp comp for comp comp cd-rom for comp comp mac video desktop comp scsi comp comp question disk for software disk for controller people performance example mean cost maximum capacity minimum access_time access time users users information database_retrieval database_system data query retrieval_method method criteria purchase knowledge personal_communication personal communication leaves users informed set assumptions database_system database system search_engine search engine example information authority database users questions data authority data_integrity data integrity like database_analysis database analysis key assumption for users can listen conversation text potential answers question search_engine search engine retrieving textual passages answer users questions users expectations interpretive work concrete users learn topic semantic issues central interpretation textual passage its context validity heart enterprise table issues number dimensions database_systems database systems can database_systems systems data search_engines indirection pointer textual passages facts interest information_need information need users database users search_engine search engine users searching for information topic database users question like mind database data for example null_value value price disk_drive disk drive case database_system database system information queries point ambiguity expectations queries general retrieval probabilistic terms hard_disk disk price database probability its value database_system database system hard_disk disk cost depth search_engine search engine can use methods for reasoning evidence confident will relevant will document users can confidence problems search_engines search success criteria information database_system database system find for database_system database system system answers database_system database system claims efficient integrate code user-friendly list search_engines search databases far analysis search_engine search engine technology applications hybrids databases search_engines search historical differences engine interaction evaluation search_engines search detail bottom line system help writing research_paper research paper search_engine search engine help find material research case find relevant opinion search_engine search engine equivalent time books law library qualitative judgments difficult measure measure populations users next section preview precise measurements proven community persuasive database community
foa-0020	build search_tool search tool potential customer relative values use search engine work can its features critical success make science build consistent reliable tools vital methodology performance search_engines search can evaluation human reference subjective factors communicate factors performance search_engine search engine document answer evaluation search_engines search difficult field methodology for search_engine_evaluation search engine evaluation objective assessment task will sketch task first step focus query respect query set documents relevant search_engine search engine can relevance documents set documents response query terms venn_diagram diagram number documents designated relevant will key measure success size set standards comparison example search_engine search engine relevant_document relevant document retrieval intersection number documents relevant measure search_engine_performance search engine performance recall users see relevant standard comparison number documents fact relevant measure precision simple measure search_engine_performance search engine performance criteria real applications users will precision recall example looking for ruling opinions documents point for his case will behavior typical undergraduate hand searching the_web for term paper next relevant documents student first screen hits relevant high-precision same analysis order documents performance range typical queries issues evaluation
foa-0021	ground summarize topics will rest text points things search_engines search need support activity central activities understanding work linguistics philosophy language will search_engine search engine development use search_engines search will empirical evidence same disciplines field computer_science computer science retrieving documents response queries indexing documents corpus keyword descriptors number techniques for recommending keywords art interests queries same keywords matching query documents list central component process users relevance_feedback relevance feedback documents match mind search_engines function database_systems database systems natural_language natural language foundations differences order for search_engine search engine science move forward evaluation_methodology evaluation methodology can alternatives overview assumptions questions goal now hope facets problem ranging characterization users documents mean methods for semantic document problem search_engines search rest book will facets detail like problems issues will text
foa-0023	real-world_problems real-world problems can instances problem proof concrete code small technology will wide array will present software_tools software tools build search_engine search engine for wide variety situations source_code code tools can for applications will work examples systems order demonstrate variations same basic code can handle technical will sound tone complex algorithm specification make software for operating environments processor internal memory hard_disk disk computers assumptions routines will reevaluation will software_tools software tools phases first phase will pile textual objects corpus documents string terms phase building efficient data_structures data structures invert relation words document can find documents keywords efforts anticipation final phase queries indices phases central building search_engine search engine will first phases extract lexical_features lexical features goal will extraction set_of_features set features analysis cognitive_science cognitive science specification analysis resolution depth image continuous_speech continuous speech speech_acts speech language specification atomic feature set first step will work efficient_algorithms efficient algorithms data_structures data structures will software_design software design tools rest time exploring features language
foa-0024	first step break corpus pile text documents format corpus individual documents operating_systems operating systems will problem can terms paths directories files files application corpus can path its root tools will translate directories files homogeneous corpus course situations documents database can terms primitives wide range corpora model will documents file document region file lexical_features structure single_document document assumptions make length documents question assumptions typical document will book for example document browsers need browse book paragraph weighting algorithms indexing_techniques indexing techniques will number tokens document textbook will focus test_corpora test corpora theses email detail natural individual document case thesis abstract for email message document individual paragraphs abstract email_message email message assumptions can corpus files path_information path information for file files message large task navigating directory files can utility recursive descent directories root file files will indexing syntactic structural_information information meaningful_text text example email will mail header information languages for example now documents syntax for example documents index like situations filters can extract meaningful_text text header format information example filter for markup utilities task parsing structure solutions for difference document index document presentation www text sample text email_message email message dissertation string characters paragraph length basic data elements examples email
foa-0025	now focused attention file locations file associated document can file segment stream characters character document token tokens worth indexing will intensive aspect indexing inner loop will real attention making lexical_analysis lexical analysis efficient general criteria will shape design textual corpus very_large large will text will text make copy for use indexing_and_retrieval indexing retrieval system will system pointers locations corpora directories files lexical_features finite_state_machine wide range alternative designs stage desire flexibility specification lexical_analyzer lexical analyzer lexical_analyzer lexical analyzer generator lex tool specification lexical analyzers for languages representation algorithms finite_state_machine finite state machine like simple representation breaks set characters text_stream text stream classes circular states transitions state next occurrence characters construction sets characters white_space space characters state text sequences can example corpora situations stream characters analysis terms simple finite_state_machine finite state machine will will utility utility critical goals lexical_analyzer lexical analyzer stream characters sequence elements first token white_space space standard definition white_space space phrase tokens file name like token directory file elements like individual tokens elements can demand sophistication tool like lex presence alphabetic characters problem tokens use rules for programming_language programming language identifiers token alphabetic character case characters lexical_analysis lexical analysis stage capitalization tokens reduction vocabulary_size vocabulary size fold case characters course proper_name name analyses for people places events see semantics documents make decisions case automatic example documents program files language question differences case
foa-0026	morphological_processing perspective linguistics early_design design issues address morphological transformations language analysis can language structural_features features way white_space space tokens meanings recall word phrase example will make units indexing texts relationship characters words alphabet standards help problem now will focus morphological stemming direct surface markings words root form characters tokens can use token root form index term can lexical_features hope retrieval robust query form document number feature noun inflectional_morphology morphology like derivational_morphology morphology can change word syntactic_category syntactic category noun verb meaning stemming suffixes simple case simple can time can stemming damage meaning approach problem patterns character sequences tokens down root forms range patterns can terms context-sensitive transformation grammar example strings stem characters characters stems vowel stem stems vowel stem rules pseudo-code syntax for regular_expressions expressions examples for exposition rules stemmer algorithm for stemming rules for conflicts rules match same token influential algorithm suffix patterns iterative match heuristic first preference pattern grammar_rule grammar rule characters target token rules rules match porter_stemmer stemmer software version technique set rules sets conflicts subset rules next fact first set rules stemmer focusing suffixes like result stemming key rule-based representations stemming process efficient implementations modifications rules ordering rules can grammar ad_hoc hacking hacking response character sequences use stemmer size keyword vocabulary results compression index_files index files compression can size keyword vocabulary aggressive suffix rules stemmer effect stemming keywords example will cause keyword query match documents problem stemming technique course morphological_features morphological features differences words meanings example token word attractive force mood word information first interpretation lexical_features approaches keyword morphology augmenting stemmer dictionary phase stemming rules
foa-0027	days seminal work facts small number words account for text bulk like can sentence noise words make poor index_terms index terms for documents document frequency indexing will build capability noise words lexical_analyzer lexical analyzer will noise words words corpus problem noise words way frequency_analysis frequency analysis corpus lexical_analysis lexical analysis use frequency analyses corpora distribution noise words corpora extrapolation words make keywords notes words words general literature will noise words terms finite list negative dictionary list use analysis brown_corpus corpus relationship noise words words critical syntactic_analysis syntactic analysis natural_language_sentences natural language sentences same tokens noise meaning function_words function words syntactic_analysis syntactic analysis sentences first suggestion complementarity concern semantics computational_linguistics linguistics concern syntax care noise words
foa-0028	lexical_analyzer lexical analyzer terms processing document corpus task first central task will match documents users queries critical lexical_analysis lexical analysis queries implementation_constraints implementation constraints same code libraries indexer query_processing query processing interface minor query_language query language support operators combinators proximity operators query lexical_analyzer lexical analyzer tokens document analyzer case imperative queries documents same lexical_analysis lexical analysis streams code library way seem processing character process break processing same computational_effort effort make efficiency answer architecture operating_system operating system reasons assumptions first corpora code make questions analysis operations first parsing tokens operations efficient can experimentation text concern
foa-0029	experiments rest will use example corpora first will call artificial_intelligence corpus dissertations abstracts dissertation lexical_features university_microfilms corpus set theses classified histogram theses distribution will focus characteristics thesis number now will attributes categories textual fields structured attributes attributes for can database artificial_intelligence artificial intelligence techniques now will textual fields abstract will textual element associated thesis its textual field will its proxy synopsis thesis its meaning form will surrogates for documents for example users documents corpus will study email now form transient communication for permanent record conversations can static type literature will disk_storage disk storage index point collect email email email copy email email_clients email clients support email folders procedures for indexing email directory_structures directory structures will use user-generated structure for learning directory email_message email message feature message message course email structured attributes associated its header general will consideration structured attributes associated documents now parallels example corpora authors for proxy text
foa-0030	range potential implementations basic techniques lexical_features features application hardware massively_parallel parallel supercomputer news financial analysts searching for file names personal_computer personal computer support file_content file content searching utility software_suite software support experimentation basic techniques see for generic utility for for example building index for making pages server searchable via web_server information_filtering filtering tools design_decisions decisions features corpus_size corpus size memory query response_time response time implementations textbook see for
foa-0031	now technology stream characters large_corpus large corpus set documents document individual tokens noise word tokens basic flow will call function see ftp software html for corpus token token stem token token for token token token token order write document corpus will loop token document let call tokens document stream character assessments negative dictionary token stemming stem word point will save posting for token occurrence document posting correspondence word document representing occurrence word document document set tokens now build representation for token documents keyword will maintain token key for access head linked_list list document number number keyword document sketch data_structures data structures document corpus fashion large_collection large collection trees data_structure data structure for keywords implementation function posting tree data posting lexical_features token head next data_structures proxy processing document will keywords will documents length documents way computation maintain small file number for document set documents need write inverted_representation representation file for processing token splay_tree tree traversal will lexicographic_order order will organize its number keyword documents corpus will call variable statistic will maintain documents keyword variable will occurrence token head next data_structures keyword document will same same keyword single_document document variables will weights for relation documents for statistics sort frequency order for matching_algorithms matching algorithms documents use keyword list documents order frequency documents list will same frequency can exploit fact compress representation list list for unique frequency
foa-0032	for raw frequency_counts frequency keyword file experimental implementation maximum flexibility keyword_weighting keyword weighting schemes raw statistics real applications lexical_features update corpus index documents raw keyword frequency information statistics corpus changes document counters for keyword deletion documents index exploits text document keywords keyword posting need track document posting element query_languages query languages proximity operators users keywords words same sentence same paragraph window support queries recording resolution posting information document example systems character position keyword data_structure data structure ir_system system representation query_attributes query attributes security fact keyword tokens proxy text text document opportunity example can importance words proxy raw text for example message dissertation characterizations document words text abstract text email_message email message code emphasis will integer variable notes keywords proxy keyword counters for proxy text searching low-resolution posting information optimized data_structure data structure update documents term permission figure first stage processing flexible respect corpus files general will documents its file number document number file posting unique_identifier unique identifier for document construct number folds integer integers simple way document file number number maximum number documents file add its document number lexical_features comp windows question disk for software disk for for controller people performance email_message large number integers large keeping will sense issues document_type process indexing first stage document thesis email_message email message processing independent document_type document type software designs breaks down face real_data real data email_messages email messages element documents text email_message email message role citations like depth for now design_decision design decision text email_message email message version lines software designs way for lines first character line symbol processing noise words stem index install term tree processing software
